nama_tempat,lat,lon,kategori,wilayah
Angkringan Wongso,-7.816468,110.3437243,cafe,bantul
MARKO milk & coffee,-7.8012501,110.3441265,cafe,bantul
Sate Klatak pak Pong,-7.8680486,110.3905995,cafe,bantul
Hidden Milk and Meals,-7.8075515,110.3391423,cafe,bantul
Mataram Loewak Coffee,-7.8197766,110.4038274,cafe,bantul
Saorsa Selatan,-7.8196821,110.3431958,cafe,bantul
ocean food,-8.0130591,110.2903423,cafe,bantul
Kingli,-7.8071804,110.3395054,cafe,bantul
Museum Coklat Monggo,-7.8406161,110.2979491,cafe,bantul
Kopi Kampung Ambarrukmo,-7.7876079,110.4038625,cafe,bantul
Warung Makan Amin,-8.023048,110.3315137,cafe,bantul
Bumi Seduh Coffee,-7.828852,110.3802925,cafe,bantul
Chatime,-7.7808184,110.3499445,cafe,bantul
Dua Tiga Cafe,-7.8739116,110.3450824,cafe,bantul
Jus Al Kareem,-7.8627949,110.3360177,cafe,bantul
Kopi Inah,-7.8145488,110.4146606,cafe,bantul
Bulak Pari view (warung),-7.8413146,110.3263463,cafe,bantul
Champa Jogja,-7.8413312,110.325352,cafe,bantul
Ekstens Coffee,-7.7987469,110.4090773,cafe,bantul
Kedai Angkringan Tata Kahuripan,-7.811266,110.3444817,cafe,bantul
Win Win,-7.9676648,110.2711638,cafe,bantul
kafe angringan,-7.9693642,110.2715008,cafe,bantul
rinjani coffee time,-7.8326113,110.4210284,cafe,bantul
Lokanusa Kotagede,-7.833978,110.3998912,cafe,bantul
Rekaya Artisan Coffee & Eatery,-7.798093,110.4056958,cafe,bantul
Cafe 1912,-7.810518,110.3232564,cafe,bantul
Anatra Coffee and Kitchen,-7.7987708,110.4077611,cafe,bantul
Jus Buah Banguntapan,-7.7984498,110.4076443,cafe,bantul
Furi & Co,-7.7988151,110.4059257,cafe,bantul
Mini Market (Indomart) Piyungan,-7.8376189,110.4745462,convenience,bantul
Srimartani Mart,-7.8248961,110.4792185,convenience,bantul
Dyefa Computer,-7.79491,110.3979795,convenience,bantul
Indomaret,-7.8068044,110.342269,convenience,bantul
Alfamart,-7.8275035,110.4410647,convenience,bantul
Mini Market,-7.9355202,110.3737742,convenience,bantul
Alfamart,-7.8183765,110.3483728,convenience,bantul
Indomaret,-7.8130878,110.3491431,convenience,bantul
Alfamart,-7.8401862,110.3131922,convenience,bantul
Indomaret,-7.892753,110.3367742,convenience,bantul
Indomaret,-7.7955829,110.397842,convenience,bantul
Alfamart,-7.812676,110.4022699,convenience,bantul
Alfamart,-7.8126894,110.2675663,convenience,bantul
Alfamart,-8.0221303,110.3312129,convenience,bantul
Alfamart,-7.8063286,110.3406946,convenience,bantul
Warung Kenzo-Kenzie,-7.8276383,110.4425382,convenience,bantul
Indomaret,-7.8189132,110.4175061,convenience,bantul
WS Baru Mart,-7.8298471,110.4068595,convenience,bantul
SRC Mayar,-7.8965268,110.3236255,convenience,bantul
Alfamart,-7.8196968,110.4013802,convenience,bantul
Indomaret,-7.8039735,110.4024274,convenience,bantul
Indomaret,-7.8193969,110.4014738,convenience,bantul
Alfamidi Kasihan,-7.8289326,110.3323843,convenience,bantul
"Indomaret Wates Km 11,2",-7.8131977,110.2638989,convenience,bantul
Budi Mart UMY,-7.814083,110.3202286,convenience,bantul
Toko Utomo,-7.8108846,110.4049283,convenience,bantul
Toko Sekar,-7.8224733,110.4149815,convenience,bantul
Alfamart,-7.7888402,110.3481457,convenience,bantul
Toko Ika Moroseneng,-7.8109871,110.4062247,convenience,bantul
Cinta Damai,-7.9812347,110.2240568,convenience,bantul
Toko Adam,-7.9811591,110.2244392,convenience,bantul
Raffa X Store,-7.9837398,110.2862151,convenience,bantul
TB Berkah,-7.9920304,110.3016468,convenience,bantul
Toko Wahyuni Buruhan,-7.9905443,110.296969,convenience,bantul
Toko Adit Srigading,-7.9810101,110.273488,convenience,bantul
Toko Raisha,-7.9787376,110.2855009,convenience,bantul
Tisha Olshop,-7.9811706,110.2835781,convenience,bantul
Toko Amanah,-7.9821254,110.2826888,convenience,bantul
Toko Tiara Indah,-7.9737503,110.2841108,convenience,bantul
Alfamart,-7.8947996,110.3523194,convenience,bantul
Indomaret,-7.8039809,110.4024287,convenience,bantul
Toko Adelia,-7.8223549,110.4147588,convenience,bantul
Toko Sakinah,-7.8231003,110.4145077,convenience,bantul
Toko Pepak,-7.8250022,110.4140663,convenience,bantul
Toko Legi,-7.825105,110.4140164,convenience,bantul
Alfamart,-7.8126686,110.4023179,convenience,bantul
Toko Yumna,-7.8640879,110.3922234,convenience,bantul
Laundry Hijau,-7.8213441,110.3638049,laundry,bantul
Elfon laundry,-7.79384,110.3631167,laundry,bantul
King Laundry,-7.8010476,110.3565847,laundry,bantul
GG Laundry,-7.8155194,110.3651856,laundry,bantul
Laundry service,-7.8210832,110.3730623,laundry,bantul
Laundry service,-7.8202279,110.3732047,laundry,bantul
Laundry,-7.8189236,110.3732047,laundry,bantul
Laundry,-7.8191969,110.3732176,laundry,bantul
Laundry,-7.8190632,110.3702862,laundry,bantul
Green wash,-7.8189523,110.362116,laundry,bantul
Ohie-Ohie,-7.8088803,110.3406517,laundry,bantul
Melia Counter,-7.7853721,110.3756742,laundry,bantul
Unicorn Laundry,-7.787283,110.3791319,laundry,bantul
Laundry Mutiara,-7.7885512,110.37974,laundry,bantul
Widya Laundry,-7.787425,110.3795484,laundry,bantul
Laundry K21,-7.787477,110.3801261,laundry,bantul
Top Laundry,-7.7875154,110.3803094,laundry,bantul
Mataair Laundry Keluarga,-7.7911192,110.446729,laundry,bantul
d'laundry aja,-7.7792195,110.3839237,laundry,bantul
Dido Loundry,-7.9335125,110.3311712,laundry,bantul
Laundry-Ku,-7.8763532,110.2407812,laundry,bantul
Annas Laundry,-7.8188946,110.3693972,laundry,bantul
Barakallah Laundry,-7.8179997,110.3727063,laundry,bantul
Mom's Laundry Bromo,-7.7735519,110.3902208,laundry,bantul
Sky Laundry,-7.8142104,110.3211079,laundry,bantul
One Click Laundry Vol 2,-7.8143398,110.3212023,laundry,bantul
K&N Laundry Express,-7.8141771,110.3202157,laundry,bantul
LCC Laundry,-7.8092088,110.3673084,laundry,bantul
Gasbhi Laundry,-7.7890979,110.3732017,laundry,bantul
Fresh,-7.8108232,110.40308,laundry,bantul
Laundry Nia,-7.9856274,110.3100954,laundry,bantul
Ribow Laundry,-7.9895452,110.2962485,laundry,bantul
Dido Loundry,-7.9335126,110.3311776,laundry,bantul
Arafah Laundry,-7.8232012,110.4144812,laundry,bantul
Ashalina Laundry,-7.8249251,110.4140923,laundry,bantul
Angkringan Lik Min,-7.8172315,110.3510743,restaurant,bantul
Gudeg Bu Tjitro,-7.7984745,110.4027756,restaurant,bantul
Omah Dhuwur,-7.8273229,110.39433,restaurant,bantul
Soto Pak Marto,-7.7984747,110.4032706,restaurant,bantul
Bumi Langit,-7.9263416,110.4102756,restaurant,bantul
Monggo Resto,-7.8455649,110.4029203,restaurant,bantul
Kedai Wedangan Watu Lumbung,-7.9931073,110.3180744,restaurant,bantul
Mie Ayam Joglo,-7.9322469,110.3674726,restaurant,bantul
Village Inn,-7.9342156,110.3662702,restaurant,bantul
Mie Ayam Bendungan,-7.9340697,110.3663825,restaurant,bantul
Bakmi Jawa Sunar,-7.8290862,110.3421653,restaurant,bantul
Warung Mangut Lele Bedog,-7.8374343,110.3399174,restaurant,bantul
Bakmi Pele,-7.8332498,110.3379887,restaurant,bantul
Ayam Goreng Mbah Cemplung,-7.8392357,110.3341516,restaurant,bantul
Soto Lenthok,-7.8200923,110.3480394,restaurant,bantul
Soto Pagi,-7.8189323,110.3480923,restaurant,bantul
Yanti Restaurant,-7.8236527,110.3468767,restaurant,bantul
Sate Ngasem,-7.8249576,110.3451123,restaurant,bantul
Gule Ayam Jago,-7.8858027,110.3306568,restaurant,bantul
Soto Sapi Sumilir,-7.885621,110.3301743,restaurant,bantul
Mie Ayam Kasongan,-7.8467364,110.3444998,restaurant,bantul
Menco,-7.8385386,110.4112615,restaurant,bantul
Pemancingan Mataram,-7.8125009,110.4179944,restaurant,bantul
Padang MM,-7.828129,110.447018,restaurant,bantul
Ayam Goreng Suharti,-7.8092399,110.4024236,restaurant,bantul
Sate Klatak Pak Bari,-7.870795,110.3919484,restaurant,bantul
Lotek & Kupat Tahu Sor Talok,-7.9245332,110.3736868,restaurant,bantul
Rumah Garuda,-7.8481094,110.3526948,restaurant,bantul
Sate Klathak Pak Yakut,-7.800588,110.337839,restaurant,bantul
Sate Klathak Pak Pong,-7.8712496,110.3872742,restaurant,bantul
Sate Klathak Pak Pong,-7.8714194,110.3874765,restaurant,bantul
Mbok mampir aneka menu belut,-7.8541753,110.3835333,restaurant,bantul
soto bu inem,-7.8418347,110.3288364,restaurant,bantul
warung bakmi jawa enak,-7.8180882,110.3483502,restaurant,bantul
gudeg bu tatik,-7.8288129,110.320791,restaurant,bantul
Bakso Pak Tupar,-7.8951867,110.352765,restaurant,bantul
Bakso Jaka,-7.9272228,110.3208729,restaurant,bantul
Rumah Makan 'Ampera' Nasi Padang Asli,-8.0230076,110.33431,restaurant,bantul
Virgo Resto Bambu,-8.0178146,110.325814,restaurant,bantul
Virgo Resto Bambu,-8.0175814,110.3253741,restaurant,bantul
Warung Bakso Pak Ambar,-7.8140138,110.2590265,restaurant,bantul
Simple Plant vegetarian resto & art space,-7.8361159,110.3400082,restaurant,bantul
Tirto Segoro,-8.0143042,110.3207125,restaurant,bantul
Cafe de Paris,-8.0272029,110.3376396,restaurant,bantul
Yogyakarta Bray Batagor,-7.8129767,110.4154887,restaurant,bantul
Warung kopi koboi,-7.8431035,110.3860237,restaurant,bantul
Vege Jawi,-7.7919019,110.4029148,restaurant,bantul
Sego Pecel Madiun Mergoroso,-7.8108466,110.4054965,restaurant,bantul
Lapangan Mini,-7.8281487,110.3656033,restaurant,bantul
Pelataran Puan Kopi & Tumbuh,-7.8170311,110.3470344,restaurant,bantul
Salad Moi,-7.8113108,110.3404805,restaurant,bantul
Waroeng Steak & Shake,-7.8005668,110.3463843,restaurant,bantul
Goeboeg Resto,-7.8107398,110.4081476,restaurant,bantul
Sugar Boba UMY,-7.8065801,110.3279731,restaurant,bantul
Griya Bakpia,-7.8065969,110.3279054,restaurant,bantul
Warmindo Motekar 8,-7.8072021,110.3280062,restaurant,bantul
Say Story Umy,-7.8074972,110.3280024,restaurant,bantul
Nasi Goreng Pak Yono,-7.8078743,110.3280253,restaurant,bantul
Kopi Nuri,-7.8550364,110.3550446,restaurant,bantul
Kedai Nyah Tan Li,-7.8459777,110.3380415,restaurant,bantul
Warung Bu Baha,-7.8275133,110.4058756,restaurant,bantul
Lesehan Twin Bridge,-7.8384309,110.4860725,restaurant,bantul
Bakmi Jawa,-7.8360015,110.4854952,restaurant,bantul
Sido Kumpul,-7.8439756,110.4811177,restaurant,bantul
Bakso Mie Ayam,-7.8363218,110.4768632,restaurant,bantul
Warung 7engger,-7.8451341,110.480247,restaurant,bantul
Layana Culinary & Spice,-7.8376378,110.480974,restaurant,bantul
Warung Soto Cerak Ati,-7.8173668,110.3189145,restaurant,bantul
Soto Ayam Pak Min Klaten,-7.8206634,110.4208191,restaurant,bantul
Bakso Gajah Mungkur,-7.8230117,110.4254869,restaurant,bantul
Sate Kambing Mudo,-7.8237345,110.4277367,restaurant,bantul
Ayam Goreng Bu Ranti,-7.8231413,110.4255801,restaurant,bantul
Joglo Khasanah,-7.8197843,110.4190276,restaurant,bantul
Chicken Crush,-7.8760519,110.3355382,restaurant,bantul
Warung Mie Ayam & Bakso Pak Paijo,-7.8200111,110.4155094,restaurant,bantul
Sate Kambing Pak Gandung,-7.8275903,110.4133173,restaurant,bantul
Soto Pagi Palibapang,-7.9054148,110.3207094,restaurant,bantul
Rumah Makan Padang Murah,-7.8512518,110.3426746,restaurant,bantul
Soto Daging Sapi Pak Man,-7.8669325,110.3384774,restaurant,bantul
Waroeng Steak & Shake,-7.8283086,110.3542059,restaurant,bantul
Warung Soto Kadipiro,-7.8006662,110.3462144,restaurant,bantul
Mie Ayam Bakso Bima,-7.8046532,110.4024199,restaurant,bantul
Tongseng Dan Daging Gongso Bu Amirah,-7.8279081,110.3674751,restaurant,bantul
Kopi Klothok Paris,-7.9374369,110.3597352,restaurant,bantul
Lotus Mio Bangunjiwo,-7.8431978,110.3050464,restaurant,bantul
Kopi Randu,-7.8536958,110.3142778,restaurant,bantul
Warung Bakmi Pak Kentung,-7.9044614,110.3328121,restaurant,bantul
"Warung Soto Bu ""Dhe""",-7.9046998,110.3314025,restaurant,bantul
Joeragan Bakso,-7.9289172,110.3268955,restaurant,bantul
Pawon Mbah Poer,-7.9309457,110.3166562,restaurant,bantul
Omah Tiwan,-7.930859,110.3167395,restaurant,bantul
Mutiara Minang,-7.9321441,110.2651208,restaurant,bantul
Kampoeng Mataraman,-7.8359289,110.3620125,restaurant,bantul
Bakso & Durian Goda,-7.8219374,110.3473846,restaurant,bantul
Rocket Chicken Niten Kasongan,-7.8487276,110.343601,restaurant,bantul
La Li Sa Farmer's Village,-7.8202952,110.2412568,restaurant,bantul
"Doyan Ayam Sewon, Yogyakarta",-7.8413886,110.3567412,restaurant,bantul
Mie Ayam Mas Huda,-7.981143,110.2236737,restaurant,bantul
Bakso & Mie Ayam Mo-Bal Wonogiri,-7.8436115,110.3144915,restaurant,bantul
PREKSU UMY,-7.8148015,110.3233927,restaurant,bantul
Nasi Kuning Kanda,-7.8294869,110.3801922,restaurant,bantul
Manoban,-7.829924,110.3802813,restaurant,bantul
Seblak Prasmanan Bariklana,-7.830277,110.3803432,restaurant,bantul
Sate Ayam Madura Cak,-7.8304174,110.3803723,restaurant,bantul
Om Joy,-7.8301948,110.3801565,restaurant,bantul
Jiwajawi,-7.8402913,110.2922891,restaurant,bantul
Sate Klathak Pak Pong,-7.8714433,110.3874765,restaurant,bantul
Seblak Endul,-7.873704,110.3450062,restaurant,bantul
Seblak PAW,-7.8788233,110.331268,restaurant,bantul
Waroeng Omah Sawah,-7.8714426,110.3463227,restaurant,bantul
Warung,-8.0023684,110.3285746,restaurant,bantul
Candi Tirto Raharjo,-7.8424088,110.3374764,restaurant,bantul
Bakso Dawet Ringin Pak Bardi Jogja,-7.8026224,110.4145397,restaurant,bantul
Bakso Pratama,-7.9073533,110.3436071,restaurant,bantul
Nasi Goreng Athaya,-7.8114727,110.3280642,restaurant,bantul
Angkringan Reeneo,-7.8466066,110.3561643,restaurant,bantul
Warmindo,-7.8461238,110.3561174,restaurant,bantul
Ayam Bakar Mas Jaya,-7.8142057,110.321045,restaurant,bantul
Nasi Goreng Mas Rifan,-7.8141827,110.3209295,restaurant,bantul
Ayam Goreng Pak Sip UMY,-7.8143167,110.3210904,restaurant,bantul
Uni Ita,-7.8143551,110.3213888,restaurant,bantul
Warmindo Raja Vitamin 1,-7.8143172,110.3215175,restaurant,bantul
Bubur Ayam Khas Jakarta Spesial Mas Coboy,-7.8142908,110.3209363,restaurant,bantul
Geprekin Aja UMY,-7.8141835,110.3202498,restaurant,bantul
Kedai Aduhai,-7.8147542,110.3208193,restaurant,bantul
Warmindo Burjonya Babe 03,-7.8146138,110.3207347,restaurant,bantul
Ayam Goreng Noosantara,-7.8141705,110.3201361,restaurant,bantul
Warmindo Kuda Mandiri,-7.8141772,110.3201805,restaurant,bantul
Masakan Khas Bali Bu Ayu,-7.7925405,110.4014148,restaurant,bantul
Sate Kambing Pak Tomek,-7.8109389,110.4053438,restaurant,bantul
Arum Mina,-7.8166907,110.3514619,restaurant,bantul
Bakmi Mbah Mo,-7.8875699,110.3483557,restaurant,bantul
Piramida,-7.8443803,110.3623116,restaurant,bantul
Warung Bakmi Jawa Mbak Indri,-7.8135684,110.3433304,restaurant,bantul
Warung Kita,-7.814402,110.3431576,restaurant,bantul
Bakpia Patuk 453,-7.8138309,110.343182,restaurant,bantul
Pondok Lesehan Bu Wiyogno,-7.8125948,110.343187,restaurant,bantul
Soto Sapi Pak Pur,-7.8120436,110.3434422,restaurant,bantul
Warung Kebon Nitiprayan,-7.812706,110.3431623,restaurant,bantul
Warung Makan Bu Sarinem,-7.8137827,110.3443669,restaurant,bantul
Tetep Demen,-7.8108242,110.4030192,restaurant,bantul
Lotek / Kupat Tahu Bu Giyanti,-7.8108237,110.4030494,restaurant,bantul
Burjo Kenangan,-7.8106797,110.4044923,restaurant,bantul
angkringan siBaxpo,-7.9956447,110.2955573,restaurant,bantul
angkringan mas kipli,-7.9978259,110.2921948,restaurant,bantul
Bakmi Jawa Pak Ribut,-7.9637342,110.2719917,restaurant,bantul
Nata De Coco Bp.Sudjadjo,-7.9674926,110.2715432,restaurant,bantul
Omah Adem Mbak Tini,-7.9688876,110.2747687,restaurant,bantul
Warung Makan Mba Sari,-7.9689076,110.2745416,restaurant,bantul
"Mi Ayam ""Tan Genggong""",-7.9689585,110.2736711,restaurant,bantul
Baksi Mini Mansuri,-7.9713742,110.2715108,restaurant,bantul
Restoran Amnas Wedding,-7.9702028,110.2761402,restaurant,bantul
Merapi Bakso dan Mi ayam,-7.9917432,110.2998966,restaurant,bantul
Angkringan Nur Jithenx,-7.9919248,110.2999261,restaurant,bantul
Mie Ayam Reza Basser,-7.9920351,110.2986125,restaurant,bantul
Mi ayam Bedes,-7.9920158,110.2969053,restaurant,bantul
Warung Makan Prapatan Buruhan,-7.9919966,110.2973921,restaurant,bantul
Rumah Makan Pavajo,-7.9427337,110.332645,restaurant,bantul
Rumah Makan Pavajo,-7.9425461,110.3328304,restaurant,bantul
Rumah Makan Pavajo,-7.9424215,110.3329549,restaurant,bantul
warung makan bu Sarinem,-7.8137246,110.3442287,restaurant,bantul
Mie Ayam Dunia,-7.9050375,110.332904,restaurant,bantul
Warung Bu Pon,-7.8129158,110.343438,restaurant,bantul
Sate Kambing Yu Yah,-7.9798883,110.3168405,restaurant,bantul
Nasi Bali Bimakroda,-7.793186,110.4031484,restaurant,bantul
Kitakita,-7.8215556,110.4152437,restaurant,bantul
Gubug Bakmi Pendowo,-7.824744,110.4142844,restaurant,bantul
Selo Karang,-8.0270718,110.3379099,restaurant,bantul
Warung Soto Gumyak,-7.8610166,110.3896194,restaurant,bantul
Barama Market,-7.8427402,110.4188365,restaurant,bantul
Warung Bakmi Pak Kentung,-7.9044663,110.3328152,restaurant,bantul
Bakmi Jawa Kembang Kluwih,-7.8026014,110.333266,restaurant,bantul
Pawon Genthong,-7.8415904,110.3083691,restaurant,bantul
warung ramarama,-7.8577122,110.3095773,restaurant,bantul
Preksu UMY,-7.8147887,110.323388,restaurant,bantul
Rumah Makan Kirana,-7.7984507,110.4079814,restaurant,bantul
Teras Coffee Fruit juice,-7.9677816,110.5980014,cafe,gunungkidul
Katamata,-7.9625796,110.6220634,cafe,gunungkidul
empat%,-7.9317664,110.5715279,cafe,gunungkidul
SEBLAK CORNER,-8.0830979,110.7737772,cafe,gunungkidul
Kandang Ogut,-7.9700408,110.5831057,cafe,gunungkidul
Rumah Indah,-7.8288029,110.73189,cafe,gunungkidul
Warung lek karni,-7.8150537,110.7666249,cafe,gunungkidul
Kanca Curhat Snack 🥨 Cafe,-7.9800823,110.5399222,cafe,gunungkidul
Pule,-7.9724565,110.6072112,cafe,gunungkidul
Kedai Picpic,-7.9614106,110.6010041,cafe,gunungkidul
Kopi Kenangan,-7.9610697,110.596222,cafe,gunungkidul
Timber Coffee,-7.9612964,110.5959194,cafe,gunungkidul
Warung HL KopilanbrongkoS,-7.9706871,110.6010313,cafe,gunungkidul
Sender,-7.9692918,110.6044992,cafe,gunungkidul
Raye Coffee,-7.9675129,110.6046906,cafe,gunungkidul
Belikopi,-7.9678262,110.6048532,cafe,gunungkidul
Homwok,-7.9717846,110.6071571,cafe,gunungkidul
Momoyo,-7.9665797,110.6016776,cafe,gunungkidul
Roha Coffee Books & Creative Space,-7.9476332,110.5841034,cafe,gunungkidul
Aroem Gendhis,-7.9327631,110.5707413,cafe,gunungkidul
Haes Coffee,-7.9754022,110.5960666,cafe,gunungkidul
Roetin Caffee,-7.9704555,110.5969761,cafe,gunungkidul
Mixue,-7.9622813,110.6017742,cafe,gunungkidul
Mixue,-7.9738187,110.6087522,cafe,gunungkidul
Nitik Coffee,-7.9934199,110.6421037,cafe,gunungkidul
Foodtosyntesa,-7.991891,110.6396652,cafe,gunungkidul
Un Caffe & Resto,-7.9607432,110.6035155,cafe,gunungkidul
Semesta Coffee,-7.9583857,110.6036363,cafe,gunungkidul
Zarvé Coffee by Alzara,-7.9681364,110.5923452,cafe,gunungkidul
South Shore,-8.1458087,110.6055059,cafe,gunungkidul
Maga swalayan,-7.8179876,110.3619048,convenience,gunungkidul
Minimarket Alfamart,-7.8246332,110.4792399,convenience,gunungkidul
Indomaret,-7.7832431,110.4459151,convenience,gunungkidul
Alfamart,-7.8768537,110.5384041,convenience,gunungkidul
Circle K,-7.8210708,110.3679047,convenience,gunungkidul
Indomaret,-7.8249692,110.3734947,convenience,gunungkidul
Indomaret,-7.8177931,110.3556731,convenience,gunungkidul
Indomaret,-7.8100976,110.3772177,convenience,gunungkidul
Alfamart,-7.8162919,110.3683929,convenience,gunungkidul
Jogjamart,-7.8204714,110.3680506,convenience,gunungkidul
Indomaret,-7.8222976,110.3615526,convenience,gunungkidul
Alfamart,-7.8313623,110.3898422,convenience,gunungkidul
Indomaret,-7.7838225,110.4106768,convenience,gunungkidul
Indomaret,-7.7864277,110.3996955,convenience,gunungkidul
Indomaret,-7.8194886,110.3962612,convenience,gunungkidul
Indomaret,-7.8008855,110.3730838,convenience,gunungkidul
Alfamart,-7.7930885,110.3733814,convenience,gunungkidul
Indomaret,-7.7956017,110.3727972,convenience,gunungkidul
Indomaret,-7.8159518,110.3685103,convenience,gunungkidul
Indomaret,-7.8041247,110.3565267,convenience,gunungkidul
Indomaret,-7.7926306,110.3536941,convenience,gunungkidul
Toko Dolano,-7.7873875,110.3524824,convenience,gunungkidul
Indomaret,-7.8045454,110.3509313,convenience,gunungkidul
Circle K,-7.7916992,110.3634266,convenience,gunungkidul
Alfamart,-7.8189945,110.373112,convenience,gunungkidul
MiniMarket,-7.8190584,110.3701171,convenience,gunungkidul
Indomaret,-7.8072937,110.3693323,convenience,gunungkidul
Alfamart,-7.7896328,110.3623581,convenience,gunungkidul
Indomaret,-7.7896892,110.3631487,convenience,gunungkidul
Indomaret,-7.7962384,110.352663,convenience,gunungkidul
Toko Bu Warsito,-7.7888489,110.3757752,convenience,gunungkidul
Prista Mart,-7.788345,110.3786027,convenience,gunungkidul
Kopel Bulog,-7.7851703,110.3750892,convenience,gunungkidul
Toko 89,-7.787137,110.3790727,convenience,gunungkidul
Indomaret,-7.8237018,110.390402,convenience,gunungkidul
Indomaret,-7.8254341,110.3902953,convenience,gunungkidul
Warung Yatno,-7.9662154,110.6720076,convenience,gunungkidul
Hesti Mart,-7.7859743,110.3763419,convenience,gunungkidul
Putra Sehat,-7.7845538,110.3790882,convenience,gunungkidul
Pop Mart,-7.7867014,110.378784,convenience,gunungkidul
Alfamidi,-7.7835917,110.3792445,convenience,gunungkidul
Indomaret,-7.7838792,110.3792032,convenience,gunungkidul
Toko Sinar Jaya,-7.7915918,110.3724311,convenience,gunungkidul
Toko Mimi,-7.7861089,110.3841966,convenience,gunungkidul
Lawson,-7.7860814,110.3788651,convenience,gunungkidul
Indomaret,-7.7837004,110.4467256,convenience,gunungkidul
Alfamart,-7.7837275,110.4469219,convenience,gunungkidul
ROSE mart,-7.7836764,110.4414566,convenience,gunungkidul
Toko Jago,-7.7834786,110.411193,convenience,gunungkidul
Alfamart,-7.7836362,110.427457,convenience,gunungkidul
Toko Janti Mandiri,-7.7834903,110.4113101,convenience,gunungkidul
Indomaret,-7.7829683,110.3915859,convenience,gunungkidul
Damai Indah Swalayan,-7.7934375,110.4826142,convenience,gunungkidul
Riffa Mart,-7.7909925,110.4828739,convenience,gunungkidul
Swalayan Madu Rejeki,-7.7843999,110.4828202,convenience,gunungkidul
Putra Mandiri,-7.7934258,110.4829678,convenience,gunungkidul
Toko Bintang Jaya,-7.7932144,110.4809693,convenience,gunungkidul
Indomaret,-7.9952946,110.6473109,convenience,gunungkidul
Toko Kelontong A3,-7.8660849,110.5161246,convenience,gunungkidul
Toko Dika,-8.0155587,110.8295663,convenience,gunungkidul
Yati,-7.9829028,110.6189731,convenience,gunungkidul
Indokulak,-7.8770325,110.5412108,convenience,gunungkidul
Minimart,-7.917124,110.5565136,convenience,gunungkidul
Alfamart,-7.9966111,110.6492107,convenience,gunungkidul
Indomaret,-8.0538834,110.8088839,convenience,gunungkidul
Alfamart,-7.9620633,110.5971987,convenience,gunungkidul
Indomaret,-7.969587,110.6042706,convenience,gunungkidul
Alfamart,-7.9727714,110.6075435,convenience,gunungkidul
Indomaret,-7.9614454,110.5966179,convenience,gunungkidul
Toko Tunas Baru 2,-8.0530029,110.8097669,convenience,gunungkidul
Pojok,-7.974657,110.6098936,convenience,gunungkidul
Toko PW Laris,-7.8759324,110.5316142,convenience,gunungkidul
Indomaret,-7.9497054,110.5858081,convenience,gunungkidul
Toko Tanjung,-7.7878484,110.4634215,convenience,gunungkidul
Toko Nadia 354,-7.7945587,110.4455675,convenience,gunungkidul
Indomaret,-7.8253028,110.4312752,convenience,gunungkidul
yola,-7.8782374,110.5415994,convenience,gunungkidul
Angkasa,-7.9438537,110.549468,convenience,gunungkidul
Amin,-7.9316966,110.5706515,convenience,gunungkidul
Berkah Playen,-7.9378782,110.5531806,convenience,gunungkidul
Barokah,-7.995155,110.6462396,convenience,gunungkidul
Mbk Enik,-8.0011073,110.6534601,convenience,gunungkidul
Iki Bisaku,-7.9771764,110.7120987,convenience,gunungkidul
Lariza,-7.952491,110.6765861,convenience,gunungkidul
Win,-7.9564077,110.6465879,convenience,gunungkidul
AR Cell,-7.9371076,110.6643233,convenience,gunungkidul
Jl baron Laris,-7.9732321,110.6022421,convenience,gunungkidul
Gunawan,-7.968319,110.6030499,convenience,gunungkidul
Madani,-7.9722268,110.6030741,convenience,gunungkidul
Astuti,-7.9598661,110.6194263,convenience,gunungkidul
Toko Plastik Rejo,-7.9714184,110.6042348,convenience,gunungkidul
Rapi,-7.9667587,110.5888805,convenience,gunungkidul
Mozarela Frozen,-7.9613137,110.600728,convenience,gunungkidul
Selang,-7.9633292,110.6184518,convenience,gunungkidul
Kharisma,-7.9637645,110.6138164,convenience,gunungkidul
Plastik 88,-7.9653497,110.6071574,convenience,gunungkidul
Langgeng Jaya,-7.9685281,110.6039492,convenience,gunungkidul
Indomaret,-7.9668532,110.6056148,convenience,gunungkidul
Indomaret,-7.7824396,110.4485229,convenience,gunungkidul
Toko Sherina,-7.8080806,110.4826097,convenience,gunungkidul
Alfamart,-7.7938145,110.3646539,convenience,gunungkidul
Indomaret,-7.8113798,110.3770112,convenience,gunungkidul
Warung Mak Sum,-7.8054061,110.3746792,convenience,gunungkidul
Warung Mak Sum,-7.8053011,110.374779,convenience,gunungkidul
Indomaret,-7.7979606,110.3619855,convenience,gunungkidul
Indomaret,-7.8007615,110.3485656,convenience,gunungkidul
Alfamart,-7.7916049,110.3658349,convenience,gunungkidul
Indomaret,-7.8079894,110.368999,convenience,gunungkidul
Diva Swalayan,-7.952765,110.6785331,convenience,gunungkidul
Alfamart,-7.954231,110.6861318,convenience,gunungkidul
Alfamart,-7.9527564,110.6782869,convenience,gunungkidul
Indomaret,-7.7901399,110.376651,convenience,gunungkidul
Indomaret,-7.8123073,110.4018617,convenience,gunungkidul
Alfamart,-7.8194473,110.3974879,convenience,gunungkidul
Alfamart,-7.8192323,110.373048,convenience,gunungkidul
Ud Pak Man,-7.8293076,110.3798987,convenience,gunungkidul
Indomaret,-7.8160915,110.3910146,convenience,gunungkidul
Indomaret,-7.815302,110.3881516,convenience,gunungkidul
